Object_Name	Object_Type
JAPAN Offshore 100m 848 42.0 141.25 160M Generator NWST	Generator
JAPAN Offshore 100m 848 42.0 141.25 160M Generator NWST Hub Height	Variable
JAPAN Offshore 100m 848 42.0 141.25 160M Generator NWST CRF	Variable
JAPAN Offshore 100m 848 42.0 141.25 160M Generator HWST	Generator
JAPAN Offshore 100m 848 42.0 141.25 160M Generator HWST Hub Height	Variable
JAPAN Offshore 100m 848 42.0 141.25 160M Generator HWST CRF	Variable
JAPAN Offshore 100m 848 42.0 141.25 160M Windspeed	Variable
JAPAN Offshore 100m 848 42.0 141.25 160M HHxWS	Variable
JAPAN Offshore 100m 848 42.0 141.25 160M HHxWSc	Variable
JAPAN Offshore 100m 848 42.0 141.25 160M HHc	Variable
JAPAN Offshore 100m 848 42.0 141.25 160M WSc	Variable
JAPAN Offshore 100m 848 42.0 141.25 160M HHxWSc+HHc	Variable
JAPAN Offshore 100m 848 42.0 141.25 160M HHxWSc+HHc+WSc	Variable
JAPAN Offshore 100m 848 42.0 141.25 160M HHxWSc+HHc+WSc+C	Variable
JAPAN Offshore 100m 848 42.0 141.25 Windspeed	Variable
JAPAN Offshore 100m 848 42.0 141.25 File	DataSource
JAPAN Offshore 100m 848 42.0 141.25 TS	DBTimeSeries
JAPAN Offshore 100m 851 42.0 143.125 WSc	Variable
JAPAN Offshore 100m 851 42.0 143.125 Base Wind Speed	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M Generator LWST	Generator
JAPAN Offshore 100m 851 42.0 143.125 100M Generator LWST Hub Height	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M Generator LWST CRF	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M Generator NWST	Generator
JAPAN Offshore 100m 851 42.0 143.125 100M Generator NWST Hub Height	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M Generator NWST CRF	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M Generator HWST	Generator
JAPAN Offshore 100m 851 42.0 143.125 100M Generator HWST Hub Height	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M Generator HWST CRF	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M Windspeed	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M HHxWS	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M HHxWSc	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M HHc	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M WSc	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M HHxWSc+HHc	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M HHxWSc+HHc+WSc	Variable
JAPAN Offshore 100m 851 42.0 143.125 100M HHxWSc+HHc+WSc+C	Variable
JAPAN Offshore 100m 851 42.0 143.125 130M Generator LWST	Generator
JAPAN Offshore 100m 851 42.0 143.125 130M Generator LWST Hub Height	Variable
JAPAN Offshore 100m 851 42.0 143.125 130M Generator LWST CRF	Variable
JAPAN Offshore 100m 851 42.0 143.125 130M Generator NWST	Generator
JAPAN Offshore 100m 851 42.0 143.125 130M Generator NWST Hub Height	Variable
JAPAN Offshore 100m 851 42.0 143.125 130M Generator NWST CRF	Variable
JAPAN Offshore 100m 851 42.0 143.125 130M Generator HWST	Generator
JAPAN Offshore 100m 851 42.0 143.125 130M Generator HWST Hub Height	Variable
JAPAN Offshore 100m 851 42.0 143.125 130M Generator HWST CRF	Variable
JAPAN Offshore 100m 851 42.0 143.125 130M Windspeed	Variable
JAPAN Offshore 100m 851 42.0 143.125 130M HHxWS	Variable
JAPAN Offshore 100m 851 42.0 143.125 130M HHxWSc	Variable
JAPAN Offshore 100m 851 42.0 143.125 130M HHc	Variable
